Category,id,title,resource1,resource1_url,resource2,resource2_url,p1,p1_url,p2,p2_url,c1,c1_url,c2,c2_url,diff
Category: Math,1,Matrix Exponentiation,1,http://zobayer.blogspot.com/2010/11/matrix-exponentiation.html,,,1,https://codeforces.com/contest/993/problem/E,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/Matrix%20Exponentiation.cpp,,,1
Category: Math,2,FFT,1,https://cp-algorithms.com/algebra/fft.html,,,1,https://codeforces.com/contest/993/problem/E,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/FFT.cpp,,,2
Category: Math,3,NTT,1,https://cp-algorithms.com/algebra/fft.html#toc-tgt-6,,,1,https://codeforces.com/problemset/problem/960/G,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/NTT.cpp,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/NTT%20With%20Any%20Prime%20MOD.cpp,2
Category: Math,4,Online NTT,1,https://tanujkhattar.wordpress.com/2018/01/03/online-fft/,,,1,https://csacademy.com/contest/round-9/task/jetpack/statement/,2,https://csacademy.com/contest/round-24/task/colored-forests/,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/NTT%20Online.cpp,,,3
Category: Math,5,FWHT,1,https://alan20210202.github.io/2020/08/07/FWHT/,,,1,https://csacademy.com/contest/archive/task/and-closure/statement/,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/FWHT.cpp,,,2
Category: Math,6,Lagrange Interpolation,1,https://codeforces.com/blog/entry/82953,,,1,https://codeforces.com/problemset/problem/622/F,2,https://www.codechef.com/problems/COUNTIT,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/Lagrange%20Interpolation.cpp,,,2
Category: Math,7,Lagrange Interpolation with Polynomial Extraction,,,,,1,https://codeforces.com/problemset/problem/622/F,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/Lagrange%20Interpolation%20with%20Polynomial%20Extraction.cpp,,,3
Category: Math,8,Polynomial Sum,1,https://min-25.hatenablog.com/entry/2015/04/24/031413,,,1,https://judge.yosupo.jp/problem/sum_of_exponential_times_polynomial,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/Polynomial%20Sum.cpp,,,3
Category: Math,9,Polynomial with Binomial Coefficients,1,https://en.wikipedia.org/wiki/Binomial_coefficient#Binomial_coefficients_as_a_basis_for_the_space_of_polynomials,,,1,https://codeforces.com/problemset/problem/622/F,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/Polynomial%20with%20Binomial%20Coefficients.cpp,,,3
Category: Math,10,Subset Sum Problem,,,,,1,https://judge.yosupo.jp/problem/sharp_p_subset_sum,2,https://www.codechef.com/problems/PPARTS,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/Subset%20Sum%20Problem.cpp,,,3
Category: Math,11,Generating Functions,1,https://codeforces.com/blog/entry/77468,2,https://codeforces.com/blog/entry/77551,,,,,,,,,3
Category: Math,12,Polynomial Structure,1,https://cp-algorithms.com/algebra/polynomial.html,,,1,https://cp-algorithms.com/algebra/polynomial.html#toc-tgt-20,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/Polynomial.cpp,,,3
Category: Math,13,Polynomial Factorization of (x^n - 1),1,https://en.wikipedia.org/wiki/Cyclotomic_polynomial,,,1,https://codeforces.com/gym/102114/problem/C,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/Polynomial%20Factorization.cpp,,,3
Category: Math,14,Berlekamp Messey,1,https://codeforces.com/blog/entry/61306,,,1,https://www.spoj.com/problems/ITRIX12E/,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/BerleKamp%20Massey.cpp,,,3
Category: Math,15,Reeds–Sloane Algorithm,,,,,1,https://www.spoj.com/problems/FINDLR/,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/Reeds%20Sloane%20Algorithm.cpp,,,3
Category: Math,16,Linear Recurrence using Cayley-Hamilton theorem,1,https://discuss.codechef.com/t/linear-recurrence-using-cayley-hamilton-theorem/6776?fbclid=IwAR0tiPDl-xoV91CJDVugrJR_pswJC-rRYVysJJ1XXzSakaQXGdo53-tVNbY,,,,,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/Linear%20Recurrence.cpp,,,2
Category: Math,17,Linear Recurrence using Generating Functions,1,https://discuss.codechef.com/t/rng-editorial/10068,,,1,https://www.codechef.com/problems/RNG,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/Linear%20Recurrence%20Fastest.cpp,,,3
Category: Math,18,Linear Recurrence with Polynomial Coefficients,1,https://min-25.hatenablog.com/entry/2018/05/10/212805,,,,,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/Linear%20Recurrence%20With%20Polynomial%20Coefficients.cpp,,,3
Category: Math,19,Linear Recurrence on Matrices,1,https://discuss.codechef.com/t/panic-editorial/80145,,,1,https://www.codechef.com/problems/PANIC,,,,,,,3
Category: Math,20,Generating Function of a Linear Recurrence,,,,,1,https://codeforces.com/gym/102268/problem/E,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/Generating%20Function%20of%20a%20Linear%20Recurrence.cpp,,,2
Category: Math,21,Gaussian Elimination,1,https://codeforces.com/blog/entry/60003,,,1,https://www.spoj.com/problems/GS/,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/Gaussian%20Elimination.cpp,,,2
Category: Math,22,Gaussian Elimination under Modulo,1,https://codeforces.com/blog/entry/60003,,,1,https://lightoj.com/problem/graph-coloring,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/Gaussian%20Elimination%20Modular.cpp,,,2
Category: Math,23,Gaussian Elimination Modulo 2,1,https://codeforces.com/blog/entry/60003,,,1,https://codeforces.com/gym/101908/problem/M,2,https://lightoj.com/problem/subsets-forming-perfect-squar,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/Gaussian%20Elimination%20Modulo%202.cpp,,,2
Category: Math,24,Determinant under Prime Modulo,1,https://en.wikipedia.org/wiki/Determinant,,,1,https://codeforces.com/problemset/problem/1155/E,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/Determinant%20Modular.cpp,,,2
Category: Math,25,Determinant under Composite Modulo,,,,,1,https://www.spoj.com/problems/DETER3/en/,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/Determinant%20under%20Composite%20Modulo.cpp,,,2
Category: Math,26,Determinant of Product Matrix,,,,,1,https://official.contest.yandex.ru/opencupXXI/contest/23124/problems/D/,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/Determinant%20of%20Product%20Matrix.cpp,,,3
Category: Math,27,Determinant of Sparse Matrix,,,,,1,https://judge.yosupo.jp/problem/sparse_matrix_det,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/Determinant%20of%20Sparse%20Matrix.cpp,,,3
Category: Math,28,Determinant of Permutant Matrix,,,,,1,https://codeforces.com/gym/102129/problem/G,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/Determinant%20of%20Permutant%20Matrix.cpp,,,3
Category: Math,29,Determinant of Cyclic Matrix,,,,,1,https://codeforces.com/gym/102129/problem/G,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/Determinant%20of%20Cyclic%20Matrix.cpp,,,3
Category: Math,30,Cauchy–Binet formula,1,https://en.wikipedia.org/wiki/Cauchy%E2%80%93Binet_formula,,,1,https://www.codechef.com/problems/CUCUMBER,,,,,,,3
Category: Math,31,Thomas Algorithm,,,,,1,https://codeforces.com/contest/1349/problem/D,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/Thomas%20Algorithm.cpp,,,2
Category: Math,32,Inverse of a Matrix,,,,,,,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/Inverse%20of%20A%20Matrix.cpp,,,3
Category: Math,33,Inverse of a Matrix modulo 2,,,,,1,https://codeforces.com/contest/736/problem/D,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/Inverse%20of%20A%20Matrix%20modulo%202.cpp,,,3
Category: Math,34,Basis Vector,1,https://codeforces.com/blog/entry/68953,,,1,https://codeforces.com/group/qcIqFPYhVr/contest/203881/problem/S,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/Basis%20Vector.cpp,,,2
Category: Math,35,Basis Vector Reduced Row Echelon Form.,1,https://en.wikipedia.org/wiki/Row_echelon_form#Reduced_row_echelon_form,,,1,https://codeforces.com/gym/102979/problem/F,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/Basis%20Vector%20Reduced%20Row%20Echelon%20Form.cpp,,,2
Category: Math,36,Basis Vector ft Weighted Linearly Independent Vectors.,,,,,1,https://codeforces.com/gym/102331/problem/E,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/Basis%20Vector%20ft%20Weighted%20Linearly%20Independent%20Vectors.cpp,,,2
Category: Math,37,Permanent of a Matrix,1,https://en.wikipedia.org/wiki/Computing_the_permanent#Ryser_formula,,,,,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/Permanent%20of%20a%20Matrix.cpp,,,2
Category: Math,38,All Possible Perfect Matching XOR Values,,,,,1,https://www.codechef.com/problems/CHEFLST,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/All%20Possible%20Perfect%20Matching%20XOR%20Values.cpp,,,2
Category: Math,39,Hafnian of a Matrix,1,https://dl.acm.org/doi/pdf/10.5555/2095116.2095189,,,1,https://judge.yosupo.jp/problem/hafnian_of_matrix,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/Hafnian%20of%20a%20Matrix.cpp,,,3
Category: Math,40,Vandermonde Matrix,1,https://en.wikipedia.org/wiki/Vandermonde_matrix,,,1,https://www.codechef.com/problems/SATA05,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/Vandermonde%20Matrix.cpp,,,3
Category: Math,41,Freivalds Algorithm,1,https://iq.opengenus.org/freivalds-algorithm/,,,,,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Math/Freivalds%20Algorithm.cpp,,,3
